,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,stopping tol
100,0.8088333333333333,50,0.44564908815762516,test,50,0.3,1e-08,0.26086956521739124,0.9,23 : 40_tanh : 2_tanh,3,0.0001
101,0.8095679012345678,50,0.44275348149152965,train,50,0.3,1e-08,0.26086956521739124,0.9,23 : 40_tanh : 2_tanh,3,0.0001
102,0.8074444444444445,50,0.4441220633676582,test,51,0.3,1e-08,0.2601908065915004,0.9,23 : 40_tanh : 2_tanh,3,0.0001
103,0.8093827160493827,50,0.4418489675799521,train,51,0.3,1e-08,0.2601908065915004,0.9,23 : 40_tanh : 2_tanh,3,0.0001
104,0.8078333333333334,50,0.4433537269523507,test,52,0.3,1e-08,0.25951557093425603,0.9,23 : 40_tanh : 2_tanh,3,0.0001
105,0.809932098765432,50,0.4408896374080726,train,52,0.3,1e-08,0.25951557093425603,0.9,23 : 40_tanh : 2_tanh,3,0.0001
106,0.8072777777777779,50,0.44369385401722844,test,53,0.3,1e-08,0.2588438308886971,0.9,23 : 40_tanh : 2_tanh,3,0.0001
107,0.8094135802469135,50,0.44178899907312585,train,53,0.3,1e-08,0.2588438308886971,0.9,23 : 40_tanh : 2_tanh,3,0.0001
108,0.8056666666666668,50,0.443927371613869,test,54,0.3,1e-08,0.2581755593803786,0.9,23 : 40_tanh : 2_tanh,3,0.0001
109,0.8092037037037038,50,0.4421190501183286,train,54,0.3,1e-08,0.2581755593803786,0.9,23 : 40_tanh : 2_tanh,3,0.0001
110,0.8085,50,0.44567849691807115,test,55,0.3,1e-08,0.2575107296137339,0.9,23 : 40_tanh : 2_tanh,3,0.0001
111,0.8094506172839506,50,0.442663079052438,train,55,0.3,1e-08,0.2575107296137339,0.9,23 : 40_tanh : 2_tanh,3,0.0001
112,0.8083333333333332,50,0.4449262150165418,test,56,0.3,1e-08,0.2568493150684931,0.9,23 : 40_tanh : 2_tanh,3,0.0001
113,0.8100925925925927,50,0.4422623339325653,train,56,0.3,1e-08,0.2568493150684931,0.9,23 : 40_tanh : 2_tanh,3,0.0001
114,0.8079999999999999,50,0.44377016611042636,test,57,0.3,1e-08,0.2561912894961571,0.9,23 : 40_tanh : 2_tanh,3,0.0001
115,0.8115,50,0.44140542036606706,train,57,0.3,1e-08,0.2561912894961571,0.9,23 : 40_tanh : 2_tanh,3,0.0001
116,0.8092222222222222,50,0.4446156087321041,test,58,0.3,1e-08,0.2555366269165247,0.9,23 : 40_tanh : 2_tanh,3,0.0001
117,0.8101049382716049,50,0.44275602820142934,train,58,0.3,1e-08,0.2555366269165247,0.9,23 : 40_tanh : 2_tanh,3,0.0001
118,0.8091111111111111,50,0.4463774280307455,test,59,0.3,1e-08,0.2548853016142736,0.9,23 : 40_tanh : 2_tanh,3,0.0001
119,0.8096111111111112,50,0.4456265304205999,train,59,0.3,1e-08,0.2548853016142736,0.9,23 : 40_tanh : 2_tanh,3,0.0001
120,0.8087222222222223,50,0.445580832163237,test,60,0.3,1e-08,0.25423728813559315,0.9,23 : 40_tanh : 2_tanh,3,0.0001
121,0.8109938271604937,50,0.4432004010928933,train,60,0.3,1e-08,0.25423728813559315,0.9,23 : 40_tanh : 2_tanh,3,0.0001
122,0.8096666666666668,50,0.443275061794401,test,61,0.3,1e-08,0.25359256128486896,0.9,23 : 40_tanh : 2_tanh,3,0.0001
123,0.8112654320987654,50,0.4408626541859741,train,61,0.3,1e-08,0.25359256128486896,0.9,23 : 40_tanh : 2_tanh,3,0.0001
124,0.8082777777777778,50,0.443368159959822,test,62,0.3,1e-08,0.2529510961214165,0.9,23 : 40_tanh : 2_tanh,3,0.0001
125,0.8099197530864197,50,0.440701556446721,train,62,0.3,1e-08,0.2529510961214165,0.9,23 : 40_tanh : 2_tanh,3,0.0001
126,0.8081666666666666,50,0.44351632045020334,test,63,0.3,1e-08,0.25231286795626573,0.9,23 : 40_tanh : 2_tanh,3,0.0001
127,0.809895061728395,50,0.4414260203772964,train,63,0.3,1e-08,0.25231286795626573,0.9,23 : 40_tanh : 2_tanh,3,0.0001
128,0.8102222222222223,50,0.4423051138860616,test,64,0.3,1e-08,0.25167785234899326,0.9,23 : 40_tanh : 2_tanh,3,0.0001
129,0.8113395061728395,50,0.4407132337458979,train,64,0.3,1e-08,0.25167785234899326,0.9,23 : 40_tanh : 2_tanh,3,0.0001
130,0.8087222222222223,50,0.44244379165170883,test,65,0.3,1e-08,0.2510460251046025,0.9,23 : 40_tanh : 2_tanh,3,0.0001
131,0.8101172839506173,50,0.44070279827422104,train,65,0.3,1e-08,0.2510460251046025,0.9,23 : 40_tanh : 2_tanh,3,0.0001
132,0.8104444444444444,50,0.44248159152840966,test,66,0.3,1e-08,0.2504173622704507,0.9,23 : 40_tanh : 2_tanh,3,0.0001
133,0.8119382716049385,50,0.4406724980243191,train,66,0.3,1e-08,0.2504173622704507,0.9,23 : 40_tanh : 2_tanh,3,0.0001
134,0.8076111111111111,50,0.442960278170675,test,67,0.3,1e-08,0.24979184013322228,0.9,23 : 40_tanh : 2_tanh,3,0.0001
135,0.8102283950617285,50,0.44134509992086324,train,67,0.3,1e-08,0.24979184013322228,0.9,23 : 40_tanh : 2_tanh,3,0.0001
136,0.8078888888888889,50,0.4424368380871668,test,68,0.3,1e-08,0.2491694352159468,0.9,23 : 40_tanh : 2_tanh,3,0.0001
137,0.8091234567901234,50,0.44092392476635794,train,68,0.3,1e-08,0.2491694352159468,0.9,23 : 40_tanh : 2_tanh,3,0.0001
138,0.8086111111111111,50,0.4422615349934091,test,69,0.3,1e-08,0.24855012427506212,0.9,23 : 40_tanh : 2_tanh,3,0.0001
139,0.8101234567901234,50,0.44046967348525196,train,69,0.3,1e-08,0.24855012427506212,0.9,23 : 40_tanh : 2_tanh,3,0.0001
140,0.8105555555555556,50,0.4416428324698431,test,70,0.3,1e-08,0.2479338842975206,0.9,23 : 40_tanh : 2_tanh,3,0.0001
141,0.8117530864197532,50,0.440267270138796,train,70,0.3,1e-08,0.2479338842975206,0.9,23 : 40_tanh : 2_tanh,3,0.0001
142,0.811,50,0.44166410353701707,test,71,0.3,1e-08,0.24732069249793898,0.9,23 : 40_tanh : 2_tanh,3,0.0001
143,0.8117345679012344,50,0.43987197141541934,train,71,0.3,1e-08,0.24732069249793898,0.9,23 : 40_tanh : 2_tanh,3,0.0001
144,0.8088333333333333,50,0.441850355876188,test,72,0.3,1e-08,0.24671052631578944,0.9,23 : 40_tanh : 2_tanh,3,0.0001
145,0.8102283950617285,50,0.439288522513434,train,72,0.3,1e-08,0.24671052631578944,0.9,23 : 40_tanh : 2_tanh,3,0.0001
146,0.8105555555555556,50,0.4424929739537166,test,73,0.3,1e-08,0.24610336341263328,0.9,23 : 40_tanh : 2_tanh,3,0.0001
147,0.8115864197530863,50,0.44006276370197095,train,73,0.3,1e-08,0.24610336341263328,0.9,23 : 40_tanh : 2_tanh,3,0.0001
148,0.8084444444444444,50,0.4432014815308731,test,74,0.3,1e-08,0.24549918166939438,0.9,23 : 40_tanh : 2_tanh,3,0.0001
149,0.8108148148148149,50,0.44082343641315047,train,74,0.3,1e-08,0.24549918166939438,0.9,23 : 40_tanh : 2_tanh,3,0.0001
150,0.8093333333333333,50,0.4425620193311934,test,75,0.3,1e-08,0.24489795918367344,0.9,23 : 40_tanh : 2_tanh,3,0.0001
151,0.8106481481481481,50,0.4400125544974936,train,75,0.3,1e-08,0.24489795918367344,0.9,23 : 40_tanh : 2_tanh,3,0.0001
152,0.8077777777777776,50,0.4418538284769185,test,76,0.3,1e-08,0.24429967426710092,0.9,23 : 40_tanh : 2_tanh,3,0.0001
153,0.8099629629629631,50,0.43950971594439786,train,76,0.3,1e-08,0.24429967426710092,0.9,23 : 40_tanh : 2_tanh,3,0.0001
154,0.8092777777777777,50,0.4430441280241077,test,77,0.3,1e-08,0.24370430544272947,0.9,23 : 40_tanh : 2_tanh,3,0.0001
155,0.8105246913580246,50,0.4400913433160592,train,77,0.3,1e-08,0.24370430544272947,0.9,23 : 40_tanh : 2_tanh,3,0.0001
156,0.8097222222222222,50,0.4415664036786316,test,78,0.3,1e-08,0.24311183144246348,0.9,23 : 40_tanh : 2_tanh,3,0.0001
157,0.8109567901234568,50,0.4397401430847164,train,78,0.3,1e-08,0.24311183144246348,0.9,23 : 40_tanh : 2_tanh,3,0.0001
158,0.8096111111111112,50,0.4413912651708527,test,79,0.3,1e-08,0.24252223120452707,0.9,23 : 40_tanh : 2_tanh,3,0.0001
159,0.8119938271604937,50,0.4400536117979159,train,79,0.3,1e-08,0.24252223120452707,0.9,23 : 40_tanh : 2_tanh,3,0.0001
160,0.8093333333333333,50,0.4409528244986356,test,80,0.3,1e-08,0.2419354838709677,0.9,23 : 40_tanh : 2_tanh,3,0.0001
161,0.8114814814814815,50,0.43930424095092624,train,80,0.3,1e-08,0.2419354838709677,0.9,23 : 40_tanh : 2_tanh,3,0.0001
162,0.8109444444444445,50,0.44283266940083904,test,81,0.3,1e-08,0.24135156878519706,0.9,23 : 40_tanh : 2_tanh,3,0.0001
163,0.811246913580247,50,0.4399033332023044,train,81,0.3,1e-08,0.24135156878519706,0.9,23 : 40_tanh : 2_tanh,3,0.0001
164,0.8097222222222222,50,0.4423537344279142,test,82,0.3,1e-08,0.24077046548956657,0.9,23 : 40_tanh : 2_tanh,3,0.0001
165,0.8104938271604939,50,0.43964616933319806,train,82,0.3,1e-08,0.24077046548956657,0.9,23 : 40_tanh : 2_tanh,3,0.0001
166,0.8073333333333333,50,0.44285255288942116,test,83,0.3,1e-08,0.24019215372297836,0.9,23 : 40_tanh : 2_tanh,3,0.0001
167,0.8094135802469137,50,0.439901676674406,train,83,0.3,1e-08,0.24019215372297836,0.9,23 : 40_tanh : 2_tanh,3,0.0001
168,0.8088333333333333,50,0.4415945605434503,test,84,0.3,1e-08,0.2396166134185303,0.9,23 : 40_tanh : 2_tanh,3,0.0001
169,0.8103086419753088,50,0.4393407899903414,train,84,0.3,1e-08,0.2396166134185303,0.9,23 : 40_tanh : 2_tanh,3,0.0001
170,0.8098333333333333,50,0.44202363862204114,test,85,0.3,1e-08,0.2390438247011952,0.9,23 : 40_tanh : 2_tanh,3,0.0001
171,0.8119876543209877,50,0.4387863112596533,train,85,0.3,1e-08,0.2390438247011952,0.9,23 : 40_tanh : 2_tanh,3,0.0001
172,0.81,50,0.44417636422832407,test,86,0.3,1e-08,0.23847376788553254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
173,0.811746913580247,50,0.4404267940854956,train,86,0.3,1e-08,0.23847376788553254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
174,0.8092222222222222,50,0.44247042525044944,test,87,0.3,1e-08,0.23790642347343374,0.9,23 : 40_tanh : 2_tanh,3,0.0001
175,0.8114506172839505,50,0.4393916834160658,train,87,0.3,1e-08,0.23790642347343374,0.9,23 : 40_tanh : 2_tanh,3,0.0001
176,0.8102777777777778,50,0.44315936867034705,test,88,0.3,1e-08,0.2373417721518987,0.9,23 : 40_tanh : 2_tanh,3,0.0001
177,0.8122654320987653,50,0.4402896325659436,train,88,0.3,1e-08,0.2373417721518987,0.9,23 : 40_tanh : 2_tanh,3,0.0001
178,0.8111666666666665,50,0.4413325798737986,test,89,0.3,1e-08,0.2367797947908445,0.9,23 : 40_tanh : 2_tanh,3,0.0001
179,0.812037037037037,50,0.4390403999134375,train,89,0.3,1e-08,0.2367797947908445,0.9,23 : 40_tanh : 2_tanh,3,0.0001
180,0.809888888888889,50,0.4426956106770359,test,90,0.3,1e-08,0.23622047244094482,0.9,23 : 40_tanh : 2_tanh,3,0.0001
181,0.8118333333333334,50,0.43998764004683893,train,90,0.3,1e-08,0.23622047244094482,0.9,23 : 40_tanh : 2_tanh,3,0.0001
182,0.8102222222222223,50,0.44193523751986996,test,91,0.3,1e-08,0.23566378633150037,0.9,23 : 40_tanh : 2_tanh,3,0.0001
183,0.8124382716049383,50,0.4391473714007925,train,91,0.3,1e-08,0.23566378633150037,0.9,23 : 40_tanh : 2_tanh,3,0.0001
184,0.8109444444444444,50,0.44121965065229,test,92,0.3,1e-08,0.2351097178683385,0.9,23 : 40_tanh : 2_tanh,3,0.0001
185,0.8125987654320989,50,0.43874430933481884,train,92,0.3,1e-08,0.2351097178683385,0.9,23 : 40_tanh : 2_tanh,3,0.0001
186,0.8115,50,0.4428000092747357,test,93,0.3,1e-08,0.23455824863174352,0.9,23 : 40_tanh : 2_tanh,3,0.0001
187,0.8117407407407408,50,0.4398579755152896,train,93,0.3,1e-08,0.23455824863174352,0.9,23 : 40_tanh : 2_tanh,3,0.0001
188,0.8097222222222221,50,0.44188145696102904,test,94,0.3,1e-08,0.23400936037441492,0.9,23 : 40_tanh : 2_tanh,3,0.0001
189,0.8121851851851852,50,0.4393459994319811,train,94,0.3,1e-08,0.23400936037441492,0.9,23 : 40_tanh : 2_tanh,3,0.0001
190,0.810111111111111,50,0.4421739372041924,test,95,0.3,1e-08,0.23346303501945523,0.9,23 : 40_tanh : 2_tanh,3,0.0001
191,0.811895061728395,50,0.43960255918629304,train,95,0.3,1e-08,0.23346303501945523,0.9,23 : 40_tanh : 2_tanh,3,0.0001
192,0.8102222222222223,50,0.44262407605773624,test,96,0.3,1e-08,0.23291925465838503,0.9,23 : 40_tanh : 2_tanh,3,0.0001
193,0.8123518518518519,50,0.4393411548620631,train,96,0.3,1e-08,0.23291925465838503,0.9,23 : 40_tanh : 2_tanh,3,0.0001
194,0.809888888888889,50,0.44244053084715373,test,97,0.3,1e-08,0.23237800154918664,0.9,23 : 40_tanh : 2_tanh,3,0.0001
195,0.8109197530864196,50,0.4391899149673985,train,97,0.3,1e-08,0.23237800154918664,0.9,23 : 40_tanh : 2_tanh,3,0.0001
196,0.809,50,0.44159266142916254,test,98,0.3,1e-08,0.23183925811437398,0.9,23 : 40_tanh : 2_tanh,3,0.0001
197,0.8115987654320987,50,0.439088194020232,train,98,0.3,1e-08,0.23183925811437398,0.9,23 : 40_tanh : 2_tanh,3,0.0001
198,0.8115,50,0.4412298547121565,test,99,0.3,1e-08,0.23130300693909017,0.9,23 : 40_tanh : 2_tanh,3,0.0001
199,0.8122592592592593,50,0.43894918416376916,train,99,0.3,1e-08,0.23130300693909017,0.9,23 : 40_tanh : 2_tanh,3,0.0001
